"시도별(1)",시도별(2),2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02
"전남",무안,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,21,28,24,16,16,19,21,20,22,27,24,20,18,19,19,9,14,14,24,23,19,20,25
"전남",강진,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19*,15,18,14,14,16,18,22,20,15,16,15,15*,9*,20,14,15,16*,19,17,21
"전남",곡성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,14,20,20,20,18,14,16,15,15,9,14,12,14,16,16,15,17
"전남",구례,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,14,11,13,21,24,26,22,18,17,19,16,11,19,17,14,18,21,20,23
"전남",보성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,12,16,20,24,21,15,16,13,12,7,12,10,13,15,21,19,22
"전남",도평균,15,18,14,22,21,24,27,26,22,20,23,16,12,13,15,27,21,25,29,29,17,21,20,13,16,12,13,17,18,21,19,15,15,15,14,9,16,13,14,15,17,17,19
"경북",영덕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18**,18,19,15,15,11,12,7,16,10,11,14,17*,16,19
"경북",영천,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,32,31,17,25,21,17,15,11,12,20,25,29**,19,16,15,16,16,11,16,12,17,24,22,18,21
"경북",의성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,23,17,15,13,13,5,10,7,13,21,26,22,23
"경북",울릉도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21**,15,9,9,9,-,-,-,12**,12,13,16,13*,14,15,12,9,9,8,14
"경북",포항,13*,20,17,26,23,27,26,27,32,29,29,25,13,14,18,29,18,27,27,29,16,23,17,14,16,13,13,19,22,21,20*,15*,15,15,16,11,16,15,16,18,20,17,21
"경북",구미,12,19,16,27,33,38,36,31,28,24,25,19,13,15,19,31,26,34,32,30,15,18,18,16,12,9,11,19,26,24,23,20,17,16,17,11,14,13,18,26,26*,23*,24
"경북",김천,10,22**,22**,30,25,36,32,31,24,21,18,11,16,14,24,41,29,34,36,44,18,18,20,17,14,14,16*,21,29,26,26**,23,23,21,20,10*,12*,11,16,22,22,20,24
"경북",경주,-,-,-,-,-,-,-,-,-,-,-,26*,13,11,18,33,24,31,31,31,18,22,19**,15,15,10,13,17,19**,24,23,18,17,16,16,10,16,12,16,19,21,19,22
"경북",안동,10,18,15*,34,38,42,36,33,28,22,21,17,17,14,21,32**,-,-,39**,31,15,20,17,16,15,10,13,19,26,25,23,19,18,15,15,9,13,12,16,21,24,20,22
"경북",영주,10,19,18,34,38,41,36,34,35,22,19,12,19,13,28,41,30,43,38,37,17,21,17,14,15,14,20,30,37**,-,-,22**,23,19,20,11,16,14,22,30,35,28,32
"경북",경산,21,20,18,32,33,33,34,34,24,20,23,25,11,11,18,38,32,39,37,34,18,21,21,16,19,14,15,22,32,28,28,21,19,21,21,15,19,15,17,23,31,28,26
"경북",상주,-,-,-,-,-,26*,23,26,18,16,16,15,14,12,21,36,31,40,43,44,20,23,17,12,13,11,15,-,25**,28,27,23,20,18,19,10,13,13,21,29,32,28,29
"경북",칠곡,-,-,-,-,-,28,28,25,24,21,23,17,9,9,16,31,27,36,33,31,16,19,16,14,15,14,15,24,30,28,27,22,20,19,18,12,16,13,17,24,28,24,26
"경북",울진,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19*,23,10,13,8,17,17,10,12,16,18,12,16,13,12,9,9,3,8,7,11,15**,22**,14,19
"경북",봉화,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,13,13,14,7,9,12,16,14,17,15,15,11,15,7,12,9,11,14,18,14,17
"경북",고령,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,16,20,20,20,16,17,19,20,14,19,13,14,17,18,16,19
"경북",군위,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15**,24,19,16,13,14,7,11,8,14,21,25,20,21
"경북",성주,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,18,18,16,11,15,15,20,25,27,26,27
"경북",예천,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,15,13,14,6,11,10,17,23,25,22,24
"경북",청도,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,19,17,16,15,8,13,10,17,23,27,23,25
"경북",청송,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18**,16,11,14,6,9,7,12,18,21,17,20
"경북",영양,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,16,12,9,3,7,8,14,16,22,15,18
"경북",문경,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23*,19,16,13,15,7,10,10,17,26,29,23,25
"경북",도평균,13,19,17,29,30,33,31,29,28,23,23,20,14,13,20,33,26,33,32,32,16,20,17,15,15,12,13,19,24,22,22,18,17,16,16,10,14,12,16,21,23,19,22
"경남",창원,19,22,17,25,25,25,26,23,24,20,24,20,13,13,17,26,21,25,26,26,18,21,19,16,17,13,12,16,21,20,21,15,15,17,15,12,17,13,14,16,18,17,19
"경남",진주,16,18,14,22,20,22,24,23,23,20,23,16,10,10,12,20,17,22,23,24,17,20,20,16,15,11,10,13,17,16,18,14,14,18,18,10,16,14,12*,13*,17,16,18
"경남",하동,14,20,18,28,28,25,25,24,21,16,18,9,6,6,9,18,14,18,22,22,14,19,21,-,15,9,9,13,14,15,20,15*,15,14,13,7,13,10,11,14,15,13,19
"경남",김해,16,19,14,21,21,23,24,20,21,20,23,20,12,11,16,28,23,26,27,28,18,23,21,18,19,14,12,18,23,21,21,16,16,17,16,11,17,13,16*,18,20,17,19
"경남",양산,16,26,17,28,29,27,28,24,28,24,26,21,13,12,16,25,20,24,25,26,18,22,21,18,20,14,15,19,23,20,21,17,16,18,17,14,19,15,19,20,21,17,21
"경남",거제,13,22,17,24,22,21**,-,23,28,21,22,19,15,11,18,24,20,25,27,28,20,24,20,11,17,10,12,15,14,18,23,18,15,17,18,13,19,12,13,14,16**,15*,16
"경남",사천,12,14,12,21,20,19,21,19,17,14,17,16,10,11,13,21,17,21,23,23,15,17,18,13,16,11,11,16,18,18,20,14,13,13,14,9,17,11,12,14,16*,15,17
"경남",밀양,-,-,-,-,-,28*,24,23,22,20,24,17,13,11,16,24,21,26,26,26,16,19,18,14,12,7,9,17,22,21,22,19,18,18,17,11,14,13,18,22,24,20,23
"경남",통영,-,-,-,-,-,25*,27,25,24,21,23,17,12,14,15,23,20,25,27,27,18,23,21,15,15,10,9,13,14,13,20,13,13,15,12,7,13,9,10,11,16,15,16
"경남",고성,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,21,21,14,16,16,11,14,11,11,14,16,16,17,12,12,14,12,8,12,10,12,13,17,19,21
"경남",거창,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,26,28,16,17,17,12,13,9,-,21,25,25,23,20,18,18,19,10,13,13,20,26,22,19,20
"경남",함안,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,23,15,16,17,12,12,10,-,19,23,22,22,18,16,16,14,10,15,14,16,21,24,22,25
"경남",함양,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,25,28,15,17,17,11,12,9,11,16,20,21,19,17,17,17,18,9*,12,17,14,17,19,20,22
"경남",남해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,27,27,18,20,20,13,16,11,12,18,21,21,21,14,16**,19**,12,9,14,10,11,14,17,17,19
"경남",산청,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,18,19,19,16,15,14,17,10,17,11,13,15,16,17,18
"경남",의령,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,21,20,19,14,13,14,16,10,17,12,13,15,18,16,18
"경남",창녕,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,23,23,22,17,16,17,18,13,20,15,18,22,23,21,23
"경남",합천,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,17,17,16,14,14,14,16,10,16,12,12,15,17,16,18
"경남",도평균,16,20,16,24,24,24,25,23,23,20,23,19,12,12,16,25,20,24,25,26,17,20,20,15,16,12,12,16,20,19,20,16,15,16,16,11,16,13,14,17,19,17,19
"제주",제주,20**,25,19,27,26,19,21,23,23,20,22,16,13,13,17,25,20,25,28,33,22,22,22,18,20,16,17,16,16,20,21,16,17,20,13,10,12,14,16,14,15,14,18
"제주",서귀포,13,17,16,22,21,20,24,24,26,21,19,17,13,13,16,20,14,19,21,26,17,17,18,14,16,10,13,15,16,18,20,15,19,19,14,9,16,12,15,12,13,13,16
"제주",도평균,16*,17,17,25,23,19,22,24,24,20,21,16,13,13,16,23,16,22,23,29,19,19,19,16,18,12,15,15,16,19,21,15,18,19,14,10,15,13,16,13,14,14,17
